id;tmdb_id;name;tagline;description;revenue;budget;imdb_id;popularity;runtime;poster_path;backdrop_path;release_date
1;59197;Sports Infrastructure;Facilitator quantify deposit;../fake-data/blob/hipster.txt;41801;32877;Ball;52280;5631;pink e-business Home Loan Account;Honduras UAE Dirham deposit;2020-08-06
2;93471;Investment Account Money Market Account programming;Handcrafted Frozen Bacon pricing structure;../fake-data/blob/hipster.txt;88597;14781;Fish;50481;15149;Designer invoice;Optional Cross-group Savings Account;2020-08-07
3;76293;THX;Fully-configurable Bacon;../fake-data/blob/hipster.txt;54257;68589;Small Frozen Shirt e-business Singapore Dollar;60726;91851;bus;virtual;2020-08-07
4;99642;system Forint;solutions;../fake-data/blob/hipster.txt;43886;48929;Directives Architect Industrial;90619;68176;card;Cotton;2020-08-06
5;89292;didactic leading-edge Cotton;Grocery;../fake-data/blob/hipster.txt;40152;57661;Ergonomic bypassing Denmark;46304;87119;Ergonomic invoice;Practical AGP;2020-08-06
6;11485;Cotton Supervisor;Bedfordshire;../fake-data/blob/hipster.txt;91603;29561;Coordinator;32380;37800;backing up;6th generation;2020-08-07
7;86617;Buckinghamshire bandwidth;Accounts enterprise migration;../fake-data/blob/hipster.txt;92355;74182;GB;36077;45023;solid state Pizza;program De-engineered;2020-08-06
8;42144;Licensed e-services Implemented;Bedfordshire Berkshire silver;../fake-data/blob/hipster.txt;8508;35108;systems Associate;98825;98094;JSON Aruban Guilder;Multi-tiered program;2020-08-07
9;83860;Lithuania Tools Exclusive;maximize Shirt virtual;../fake-data/blob/hipster.txt;21686;37438;bandwidth overriding discrete;44062;98185;Steel Factors application;Trail Jordan;2020-08-07
10;55378;Tasty installation Engineer;Saudi Riyal Squares Granite;../fake-data/blob/hipster.txt;67209;66558;Awesome Cotton Ball payment;36466;8931;Rustic Fresh Bacon;Unbranded card parse;2020-08-06
