id;average_rating;average_budget;average_revenue;total_movies;most_popular_genre_movie_count;most_popular_actor_movie_count;most_popular_writer_movie_count;most_popular_producer_movie_count;most_popular_director_movie_count;most_popular_production_company_movie_count;most_popular_production_country_movie_count
1;14774;62165;46582;77327;55398;45528;76219;42770;13891;90171;15670
2;34820;35748;83452;3706;36297;74039;26254;97681;25007;55824;48118
3;70189;83587;46836;73058;96228;70221;12137;21779;61263;9808;22918
4;9566;54652;1167;1663;11128;39288;54531;4205;7720;43797;76153
5;71259;23192;42213;51453;22525;58102;79773;80933;96218;88855;21131
6;64273;23677;75599;28318;76441;8714;8232;1172;94634;49687;45307
7;832;7400;47272;26518;83369;57575;68831;69375;22052;80132;46478
8;55771;20202;69144;2266;1540;32444;30665;90583;57701;60415;79655
9;54533;83422;51208;70557;55777;3940;28085;33641;59241;11314;17208
10;45317;43434;47356;94868;5928;57253;47092;43877;29654;13942;43740
