id;name;tmdb_id;logo_path;origin_country
1;Communications;31224;Baby Rustic;scale Marketing
2;Creative;49602;Wyoming unleash Accountability;XML
3;methodology payment;15133;Iowa;Technician exploit deposit
4;algorithm Legacy indigo;64643;wireless deposit;web-readiness
5;heuristic Malagasy Ariary Surinam Dollar;25911;ability;Tanzania Borders strategic
6;JSON USB;9860;Phased dedicated Solutions;Sleek RSS matrix
7;Developer Liechtenstein vortals;6061;Global;Ergonomic Frozen Pants Burgs models
8;withdrawal architectures yellow;36063;budgetary management Senior Villages;pixel Web
9;Coordinator;71839;Refined;framework Books
10;monitoring ivory Guyana Dollar;12901;connecting;Table Checking Account
